Name,distil_coef,ImageNet Accuracy,Avg OOD Acc,ImageNetV2 Accuracy,ImageNetR Accuracy,ImageNetA Accuracy,ImageNetSketch Accuracy,ObjectNet Accuracy,ImageNet ECE,ImageNetV2 ECE,ImageNetR ECE,ImageNetA ECE,ImageNetSketch ECE,ObjectNet ECE,Avg OOD ECE
pomp_lambda_distil_10.0,10,0.8052,0.6327,0.7208,0.795,0.5407,0.5327,0.5745,0.0637,0.0475,0.0621,0.0839,0.0725,0.0795,0.0691
pomp_lambda_distil_5.0,5,0.8108,0.636,0.7254,0.7979,0.5437,0.5364,0.5765,0.0631,0.0467,0.06,0.0812,0.07,0.0772,0.06702
pomp_lambda_distil_4.0,4,0.8125,0.6372,0.7267,0.7978,0.5475,0.5374,0.5766,0.0606,0.0457,0.0583,0.0817,0.0705,0.0801,0.06726
pomp_lambda_distil_3.0,3,0.8158,0.6389,0.7312,0.799,0.5483,0.5384,0.5775,0.059,0.0466,0.0566,0.0866,0.0701,0.0814,0.06826
pomp_lambda_distil_2.0,2,0.8194,0.6401,0.7349,0.8003,0.5464,0.5402,0.5788,0.0547,0.0422,0.0528,0.0885,0.0682,0.0863,0.0676
pomp_lambda_distil_1.5,1.5,0.8227,0.6412,0.7352,0.7972,0.5528,0.5399,0.5808,0.0511,0.0396,0.049,0.0911,0.0707,0.0897,0.06802
pomp_lambda_distil_1.2,1.2,0.825,0.6411,0.7374,0.7955,0.552,0.5394,0.5814,0.0484,0.0408,0.0455,0.0963,0.0713,0.0957,0.06992
pomp_lambda_distil_1.0,1,0.827,0.641,0.7407,0.7964,0.5487,0.5385,0.5808,0.0465,0.041,0.0445,0.1001,0.0742,0.101,0.07216
pomp_lambda_distil_0.7,0.7,0.829,0.6402,0.7441,0.7921,0.5472,0.5373,0.5803,0.0419,0.0445,0.0416,0.112,0.0841,0.1144,0.07932
pomp_lambda_distil_0.5,0.5,0.8316,0.637,0.7431,0.7876,0.5413,0.5352,0.5776,0.0409,0.0466,0.039,0.1259,0.0953,0.1295,0.08726
pomp_lambda_distil_0.4,0.4,0.8326,0.6348,0.7448,0.7819,0.5364,0.5327,0.5782,0.0394,0.0502,0.0415,0.1353,0.103,0.1363,0.09326
pomp_lambda_distil_0.3,0.3,0.8328,0.6319,0.7452,0.7753,0.5355,0.5291,0.5744,0.0397,0.0554,0.0424,0.1459,0.1161,0.1502,0.102
pomp_lambda_distil_0.2,0.2,0.8329,0.6267,0.743,0.768,0.5261,0.5258,0.5704,0.0421,0.0626,0.0463,0.1628,0.1341,0.166,0.11436
pomp_lambda_distil_0.1,0.1,0.8325,0.6186,0.7408,0.7534,0.5152,0.5189,0.5649,0.047,0.0798,0.0601,0.189,0.1594,0.1895,0.13556
