"Step","tracer_ema_up_freq_1 - Teacher_teacher_accuracy_combined","tracer_ema_up_freq_1 - Teacher_teacher_accuracy_combined__MIN","tracer_ema_up_freq_1 - Teacher_teacher_accuracy_combined__MAX","tracer_ema_up_freq_500 - Teacher_teacher_accuracy_combined","tracer_ema_up_freq_500 - Teacher_teacher_accuracy_combined__MIN","tracer_ema_up_freq_500 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_2500 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_2500 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_2500 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_1000 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_1000 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_1000 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_500 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_500 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_500 - Teacher_teacher_accuracy_combined__MAX","tracer_beta_1.5 - Teacher_teacher_accuracy_combined","tracer_beta_1.5 - Teacher_teacher_accuracy_combined__MIN","tracer_beta_1.5 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_50 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_50 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_50 - Teacher_teacher_accuracy_combined__MAX","tracer_beta_1.0 - Teacher_teacher_accuracy_combined","tracer_beta_1.0 - Teacher_teacher_accuracy_combined__MIN","tracer_beta_1.0 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_5 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_5 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_5 - Teacher_teacher_accuracy_combined__MAX","tracer_beta_0.2 - Teacher_teacher_accuracy_combined","tracer_beta_0.2 - Teacher_teacher_accuracy_combined__MIN","tracer_beta_0.2 - Teacher_teacher_accuracy_combined__MAX"
"2","0.564453125","0.564453125","0.564453125","0.564453125","0.564453125","0.564453125","0.5673828125","0.5673828125","0.5673828125","0.5673828125","0.5673828125","0.5673828125","0.5673828125","0.5673828125","0.5673828125","0.5654296875","0.5654296875","0.5654296875","0.5673828125","0.5673828125","0.5673828125","0.5703125","0.5703125","0.5703125","0.5673828125","0.5673828125","0.5673828125","0.5703125","0.5703125","0.5703125"
"3","0.552734375","0.552734375","0.552734375","0.568359375","0.568359375","0.568359375","0.57421875","0.57421875","0.57421875","0.57421875","0.57421875","0.57421875","0.57421875","0.57421875","0.57421875","0.5830078125","0.5830078125","0.5830078125","0.57421875","0.57421875","0.57421875","0.578125","0.578125","0.578125","0.5810546875","0.5810546875","0.5810546875","0.5771484375","0.5771484375","0.5771484375"
"4","0.556640625","0.556640625","0.556640625","0.5302734375","0.5302734375","0.5302734375","0.529296875","0.529296875","0.529296875","0.529296875","0.529296875","0.529296875","0.529296875","0.529296875","0.529296875","0.541015625","0.541015625","0.541015625","0.529296875","0.529296875","0.529296875","0.5439453125","0.5439453125","0.5439453125","0.544921875","0.544921875","0.544921875","0.5400390625","0.5400390625","0.5400390625"
"5","0.5419921875","0.5419921875","0.5419921875","0.5380859375","0.5380859375","0.5380859375","0.533203125","0.533203125","0.533203125","0.533203125","0.533203125","0.533203125","0.533203125","0.533203125","0.533203125","0.5419921875","0.5419921875","0.5419921875","0.533203125","0.533203125","0.533203125","0.5439453125","0.5439453125","0.5439453125","0.541015625","0.541015625","0.541015625","0.537109375","0.537109375","0.537109375"
"6","0.587890625","0.587890625","0.587890625","0.5458984375","0.5458984375","0.5458984375","0.5458984375","0.5458984375","0.5458984375","0.5458984375","0.5458984375","0.5458984375","0.5458984375","0.5458984375","0.5458984375","0.556640625","0.556640625","0.556640625","0.5458984375","0.5458984375","0.5458984375","0.5595703125","0.5595703125","0.5595703125","0.552734375","0.552734375","0.552734375","0.5478515625","0.5478515625","0.5478515625"
"7","0.5556640625","0.5556640625","0.5556640625","0.56640625","0.56640625","0.56640625","0.5625","0.5625","0.5625","0.5625","0.5625","0.5625","0.5625","0.5625","0.5625","0.5830078125","0.5830078125","0.5830078125","0.5625","0.5625","0.5625","0.5830078125","0.5830078125","0.5830078125","0.578125","0.578125","0.578125","0.578125","0.578125","0.578125"
"8","0.5859375","0.5859375","0.5859375","0.5693359375","0.5693359375","0.5693359375","0.568359375","0.568359375","0.568359375","0.568359375","0.568359375","0.568359375","0.568359375","0.568359375","0.568359375","0.5908203125","0.5908203125","0.5908203125","0.568359375","0.568359375","0.568359375","0.5859375","0.5859375","0.5859375","0.5830078125","0.5830078125","0.5830078125","0.58203125","0.58203125","0.58203125"
"9","0.603515625","0.603515625","0.603515625","0.552734375","0.552734375","0.552734375","0.55078125","0.55078125","0.55078125","0.55078125","0.55078125","0.55078125","0.55078125","0.55078125","0.55078125","0.5693359375","0.5693359375","0.5693359375","0.55078125","0.55078125","0.55078125","0.55859375","0.55859375","0.55859375","0.5537109375","0.5537109375","0.5537109375","0.5537109375","0.5537109375","0.5537109375"
"10","0.583984375","0.583984375","0.583984375","0.51953125","0.51953125","0.51953125","0.5244140625","0.5244140625","0.5244140625","0.5244140625","0.5244140625","0.5244140625","0.5244140625","0.5244140625","0.5244140625","0.5419921875","0.5419921875","0.5419921875","0.5244140625","0.5244140625","0.5244140625","0.5439453125","0.5439453125","0.5439453125","0.537109375","0.537109375","0.537109375","0.533203125","0.533203125","0.533203125"
"11","0.6083984375","0.6083984375","0.6083984375","0.5390625","0.5390625","0.5390625","0.541015625","0.541015625","0.541015625","0.541015625","0.541015625","0.541015625","0.541015625","0.541015625","0.541015625","0.5751953125","0.5751953125","0.5751953125","0.541015625","0.541015625","0.541015625","0.56640625","0.56640625","0.56640625","0.5625","0.5625","0.5625","0.556640625","0.556640625","0.556640625"
