"Step","tracer_ema_up_freq_1 - Teacher_teacher_avg_entropy_combined","tracer_ema_up_freq_1 - Teacher_teacher_avg_entropy_combined__MIN","tracer_ema_up_freq_1 - Teacher_teacher_avg_entropy_combined__MAX","tracer_ema_up_freq_500 - Teacher_teacher_avg_entropy_combined","tracer_ema_up_freq_500 - Teacher_teacher_avg_entropy_combined__MIN","tracer_ema_up_freq_500 - Teacher_teacher_avg_entropy_combined__MAX","tracer_bma_up_freq_2500 - Teacher_teacher_avg_entropy_combined","tracer_bma_up_freq_2500 - Teacher_teacher_avg_entropy_combined__MIN","tracer_bma_up_freq_2500 - Teacher_teacher_avg_entropy_combined__MAX","tracer_bma_up_freq_1000 - Teacher_teacher_avg_entropy_combined","tracer_bma_up_freq_1000 - Teacher_teacher_avg_entropy_combined__MIN","tracer_bma_up_freq_1000 - Teacher_teacher_avg_entropy_combined__MAX","tracer_bma_up_freq_500 - Teacher_teacher_avg_entropy_combined","tracer_bma_up_freq_500 - Teacher_teacher_avg_entropy_combined__MIN","tracer_bma_up_freq_500 - Teacher_teacher_avg_entropy_combined__MAX","tracer_beta_1.5 - Teacher_teacher_avg_entropy_combined","tracer_beta_1.5 - Teacher_teacher_avg_entropy_combined__MIN","tracer_beta_1.5 - Teacher_teacher_avg_entropy_combined__MAX","tracer_bma_up_freq_50 - Teacher_teacher_avg_entropy_combined","tracer_bma_up_freq_50 - Teacher_teacher_avg_entropy_combined__MIN","tracer_bma_up_freq_50 - Teacher_teacher_avg_entropy_combined__MAX","tracer_beta_1.0 - Teacher_teacher_avg_entropy_combined","tracer_beta_1.0 - Teacher_teacher_avg_entropy_combined__MIN","tracer_beta_1.0 - Teacher_teacher_avg_entropy_combined__MAX","tracer_bma_up_freq_5 - Teacher_teacher_avg_entropy_combined","tracer_bma_up_freq_5 - Teacher_teacher_avg_entropy_combined__MIN","tracer_bma_up_freq_5 - Teacher_teacher_avg_entropy_combined__MAX","tracer_beta_0.2 - Teacher_teacher_avg_entropy_combined","tracer_beta_0.2 - Teacher_teacher_avg_entropy_combined__MIN","tracer_beta_0.2 - Teacher_teacher_avg_entropy_combined__MAX"
"2","1.1201149225234985","1.1201149225234985","1.1201149225234985","1.1056278944015503","1.1056278944015503","1.1056278944015503","1.104719877243042","1.104719877243042","1.104719877243042","1.104719877243042","1.104719877243042","1.104719877243042","1.104719877243042","1.104719877243042","1.104719877243042","1.0968488454818726","1.0968488454818726","1.0968488454818726","1.104719877243042","1.104719877243042","1.104719877243042","1.0971962213516235","1.0971962213516235","1.0971962213516235","1.104719877243042","1.104719877243042","1.104719877243042","1.0989723205566406","1.0989723205566406","1.0989723205566406"
"3","1.1787211894989014","1.1787211894989014","1.1787211894989014","1.1521269083023071","1.1521269083023071","1.1521269083023071","1.1498239040374756","1.1498239040374756","1.1498239040374756","1.1498239040374756","1.1498239040374756","1.1498239040374756","1.1498239040374756","1.1498239040374756","1.1498239040374756","1.140946626663208","1.140946626663208","1.140946626663208","1.1498239040374756","1.1498239040374756","1.1498239040374756","1.138979434967041","1.138979434967041","1.138979434967041","1.1403751373291016","1.1403751373291016","1.1403751373291016","1.1404086351394653","1.1404086351394653","1.1404086351394653"
"4","1.1731359958648682","1.1731359958648682","1.1731359958648682","1.220531702041626","1.220531702041626","1.220531702041626","1.2191948890686035","1.2191948890686035","1.2191948890686035","1.2191948890686035","1.2191948890686035","1.2191948890686035","1.2191948890686035","1.2191948890686035","1.2191948890686035","1.207991600036621","1.207991600036621","1.207991600036621","1.2191948890686035","1.2191948890686035","1.2191948890686035","1.2066611051559448","1.2066611051559448","1.2066611051559448","1.2084468603134155","1.2084468603134155","1.2084468603134155","1.208526372909546","1.208526372909546","1.208526372909546"
"5","1.1893088817596436","1.1893088817596436","1.1893088817596436","1.2518073320388794","1.2518073320388794","1.2518073320388794","1.2503951787948608","1.2503951787948608","1.2503951787948608","1.2503951787948608","1.2503951787948608","1.2503951787948608","1.2503951787948608","1.2503951787948608","1.2503951787948608","1.2420237064361572","1.2420237064361572","1.2420237064361572","1.2503951787948608","1.2503951787948608","1.2503951787948608","1.2417629957199097","1.2417629957199097","1.2417629957199097","1.242790699005127","1.242790699005127","1.242790699005127","1.2436028718948364","1.2436028718948364","1.2436028718948364"
"6","1.1501703262329102","1.1501703262329102","1.1501703262329102","1.1591914892196655","1.1591914892196655","1.1591914892196655","1.1596190929412842","1.1596190929412842","1.1596190929412842","1.1596190929412842","1.1596190929412842","1.1596190929412842","1.1596190929412842","1.1596190929412842","1.1596190929412842","1.144265055656433","1.144265055656433","1.144265055656433","1.1596190929412842","1.1596190929412842","1.1596190929412842","1.1430867910385132","1.1430867910385132","1.1430867910385132","1.1440644264221191","1.1440644264221191","1.1440644264221191","1.14681077003479","1.14681077003479","1.14681077003479"
"7","1.1615583896636963","1.1615583896636963","1.1615583896636963","1.1393365859985352","1.1393365859985352","1.1393365859985352","1.1385152339935303","1.1385152339935303","1.1385152339935303","1.1385152339935303","1.1385152339935303","1.1385152339935303","1.1385152339935303","1.1385152339935303","1.1385152339935303","1.1243793964385986","1.1243793964385986","1.1243793964385986","1.1385152339935303","1.1385152339935303","1.1385152339935303","1.1248726844787598","1.1248726844787598","1.1248726844787598","1.1273646354675293","1.1273646354675293","1.1273646354675293","1.1275370121002197","1.1275370121002197","1.1275370121002197"
"8","1.1047642230987549","1.1047642230987549","1.1047642230987549","1.1336380243301392","1.1336380243301392","1.1336380243301392","1.1335396766662598","1.1335396766662598","1.1335396766662598","1.1335396766662598","1.1335396766662598","1.1335396766662598","1.1335396766662598","1.1335396766662598","1.1335396766662598","1.1035059690475464","1.1035059690475464","1.1035059690475464","1.1335396766662598","1.1335396766662598","1.1335396766662598","1.107192039489746","1.107192039489746","1.107192039489746","1.1139614582061768","1.1139614582061768","1.1139614582061768","1.1139003038406372","1.1139003038406372","1.1139003038406372"
"9","1.143932580947876","1.143932580947876","1.143932580947876","1.189258337020874","1.189258337020874","1.189258337020874","1.1874990463256836","1.1874990463256836","1.1874990463256836","1.1874990463256836","1.1874990463256836","1.1874990463256836","1.1874990463256836","1.1874990463256836","1.1874990463256836","1.1455442905426025","1.1455442905426025","1.1455442905426025","1.1874990463256836","1.1874990463256836","1.1874990463256836","1.1504992246627808","1.1504992246627808","1.1504992246627808","1.1613352298736572","1.1613352298736572","1.1613352298736572","1.162613034248352","1.162613034248352","1.162613034248352"
"10","1.1586730480194092","1.1586730480194092","1.1586730480194092","1.1932320594787598","1.1932320594787598","1.1932320594787598","1.1926648616790771","1.1926648616790771","1.1926648616790771","1.1926648616790771","1.1926648616790771","1.1926648616790771","1.1926648616790771","1.1926648616790771","1.1926648616790771","1.1533668041229248","1.1533668041229248","1.1533668041229248","1.1926648616790771","1.1926648616790771","1.1926648616790771","1.1590301990509033","1.1590301990509033","1.1590301990509033","1.1676554679870605","1.1676554679870605","1.1676554679870605","1.1682512760162354","1.1682512760162354","1.1682512760162354"
"11","1.0821030139923096","1.0821030139923096","1.0821030139923096","1.1674731969833374","1.1674731969833374","1.1674731969833374","1.166011095046997","1.166011095046997","1.166011095046997","1.166011095046997","1.166011095046997","1.166011095046997","1.166011095046997","1.166011095046997","1.166011095046997","1.1022415161132812","1.1022415161132812","1.1022415161132812","1.166011095046997","1.166011095046997","1.166011095046997","1.1181612014770508","1.1181612014770508","1.1181612014770508","1.133911371231079","1.133911371231079","1.133911371231079","1.1382803916931152","1.1382803916931152","1.1382803916931152"
