"Step","tracer_ema_up_freq_1 - Teacher_teacher_student_accuracy_diff_combined","tracer_ema_up_freq_1 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_ema_up_freq_1 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_ema_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined","tracer_ema_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_ema_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_2500 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_2500 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_2500 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_1000 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_1000 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_1000 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_beta_1.5 - Teacher_teacher_student_accuracy_diff_combined","tracer_beta_1.5 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_beta_1.5 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_50 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_50 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_50 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_beta_1.0 - Teacher_teacher_student_accuracy_diff_combined","tracer_beta_1.0 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_beta_1.0 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_5 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_5 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_5 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_beta_0.2 - Teacher_teacher_student_accuracy_diff_combined","tracer_beta_0.2 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_beta_0.2 - Teacher_teacher_student_accuracy_diff_combined__MAX"
"2","0","0","0","-0.0087890625","-0.0087890625","-0.0087890625","-0.009765625","-0.009765625","-0.009765625","-0.009765625","-0.009765625","-0.009765625","-0.009765625","-0.009765625","-0.009765625","-0.0078125","-0.0078125","-0.0078125","-0.009765625","-0.009765625","-0.009765625","-0.0029296875","-0.0029296875","-0.0029296875","-0.009765625","-0.009765625","-0.009765625","-0.005859375","-0.005859375","-0.005859375"
"3","0.005859375","0.005859375","0.005859375","-0.01171875","-0.01171875","-0.01171875","-0.00390625","-0.00390625","-0.00390625","-0.00390625","-0.00390625","-0.00390625","-0.00390625","-0.00390625","-0.00390625","0","0","0","-0.00390625","-0.00390625","-0.00390625","-0.0029296875","-0.0029296875","-0.0029296875","-0.001953125","-0.001953125","-0.001953125","-0.0029296875","-0.0029296875","-0.0029296875"
"4","0.005859375","0.005859375","0.005859375","-0.013671875","-0.013671875","-0.013671875","-0.0107421875","-0.0107421875","-0.0107421875","-0.0107421875","-0.0107421875","-0.0107421875","-0.0107421875","-0.0107421875","-0.0107421875","-0.0029296875","-0.0029296875","-0.0029296875","-0.0107421875","-0.0107421875","-0.0107421875","0.001953125","0.001953125","0.001953125","0.0009765625","0.0009765625","0.0009765625","-0.001953125","-0.001953125","-0.001953125"
"5","0","0","0","-0.009765625","-0.009765625","-0.009765625","-0.0146484375","-0.0146484375","-0.0146484375","-0.0146484375","-0.0146484375","-0.0146484375","-0.0146484375","-0.0146484375","-0.0146484375","-0.005859375","-0.005859375","-0.005859375","-0.0146484375","-0.0146484375","-0.0146484375","-0.009765625","-0.009765625","-0.009765625","-0.0078125","-0.0078125","-0.0078125","-0.0078125","-0.0078125","-0.0078125"
"6","-0.0009765625","-0.0009765625","-0.0009765625","-0.0205078125","-0.0205078125","-0.0205078125","-0.0224609375","-0.0224609375","-0.0224609375","-0.0224609375","-0.0224609375","-0.0224609375","-0.0224609375","-0.0224609375","-0.0224609375","-0.0107421875","-0.0107421875","-0.0107421875","-0.0224609375","-0.0224609375","-0.0224609375","-0.005859375","-0.005859375","-0.005859375","-0.01171875","-0.01171875","-0.01171875","-0.021484375","-0.021484375","-0.021484375"
"7","0","0","0","-0.03515625","-0.03515625","-0.03515625","-0.037109375","-0.037109375","-0.037109375","-0.037109375","-0.037109375","-0.037109375","-0.037109375","-0.037109375","-0.037109375","-0.017578125","-0.017578125","-0.017578125","-0.037109375","-0.037109375","-0.037109375","-0.0146484375","-0.0146484375","-0.0146484375","-0.0283203125","-0.0283203125","-0.0283203125","-0.03125","-0.03125","-0.03125"
"8","0.001953125","0.001953125","0.001953125","-0.0263671875","-0.0263671875","-0.0263671875","-0.0263671875","-0.0263671875","-0.0263671875","-0.0263671875","-0.0263671875","-0.0263671875","-0.0263671875","-0.0263671875","-0.0263671875","-0.009765625","-0.009765625","-0.009765625","-0.0263671875","-0.0263671875","-0.0263671875","-0.01171875","-0.01171875","-0.01171875","-0.0185546875","-0.0185546875","-0.0185546875","-0.0185546875","-0.0185546875","-0.0185546875"
"9","0.0009765625","0.0009765625","0.0009765625","-0.0322265625","-0.0322265625","-0.0322265625","-0.0302734375","-0.0302734375","-0.0302734375","-0.0302734375","-0.0302734375","-0.0302734375","-0.0302734375","-0.0302734375","-0.0302734375","-0.017578125","-0.017578125","-0.017578125","-0.0302734375","-0.0302734375","-0.0302734375","-0.02734375","-0.02734375","-0.02734375","-0.03125","-0.03125","-0.03125","-0.0302734375","-0.0302734375","-0.0302734375"
"10","-0.0009765625","-0.0009765625","-0.0009765625","-0.0458984375","-0.0458984375","-0.0458984375","-0.0439453125","-0.0439453125","-0.0439453125","-0.0439453125","-0.0439453125","-0.0439453125","-0.0439453125","-0.0439453125","-0.0439453125","-0.02734375","-0.02734375","-0.02734375","-0.0439453125","-0.0439453125","-0.0439453125","-0.0283203125","-0.0283203125","-0.0283203125","-0.033203125","-0.033203125","-0.033203125","-0.03515625","-0.03515625","-0.03515625"
"11","-0.001953125","-0.001953125","-0.001953125","-0.0625","-0.0625","-0.0625","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0400390625","-0.0400390625","-0.0400390625","-0.0673828125","-0.0673828125","-0.0673828125","-0.044921875","-0.044921875","-0.044921875","-0.046875","-0.046875","-0.046875","-0.0537109375","-0.0537109375","-0.0537109375"
