"Step","tracer_ema_up_freq_1 - Teacher_teacher_student_agreement_combined","tracer_ema_up_freq_1 - Teacher_teacher_student_agreement_combined__MIN","tracer_ema_up_freq_1 - Teacher_teacher_student_agreement_combined__MAX","tracer_ema_up_freq_500 - Teacher_teacher_student_agreement_combined","tracer_ema_up_freq_500 - Teacher_teacher_student_agreement_combined__MIN","tracer_ema_up_freq_500 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_2500 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_2500 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_2500 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_1000 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_1000 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_1000 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_500 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_500 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_500 - Teacher_teacher_student_agreement_combined__MAX","tracer_beta_1.5 - Teacher_teacher_student_agreement_combined","tracer_beta_1.5 - Teacher_teacher_student_agreement_combined__MIN","tracer_beta_1.5 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_50 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_50 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_50 - Teacher_teacher_student_agreement_combined__MAX","tracer_beta_1.0 - Teacher_teacher_student_agreement_combined","tracer_beta_1.0 - Teacher_teacher_student_agreement_combined__MIN","tracer_beta_1.0 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_5 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_5 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_5 - Teacher_teacher_student_agreement_combined__MAX","tracer_beta_0.2 - Teacher_teacher_student_agreement_combined","tracer_beta_0.2 - Teacher_teacher_student_agreement_combined__MIN","tracer_beta_0.2 - Teacher_teacher_student_agreement_combined__MAX"
"2","0.98828125","0.98828125","0.98828125","0.9619140625","0.9619140625","0.9619140625","0.966796875","0.966796875","0.966796875","0.966796875","0.966796875","0.966796875","0.966796875","0.966796875","0.966796875","0.9755859375","0.9755859375","0.9755859375","0.966796875","0.966796875","0.966796875","0.982421875","0.982421875","0.982421875","0.966796875","0.966796875","0.966796875","0.98046875","0.98046875","0.98046875"
"3","0.98828125","0.98828125","0.98828125","0.9443359375","0.9443359375","0.9443359375","0.9521484375","0.9521484375","0.9521484375","0.9521484375","0.9521484375","0.9521484375","0.9521484375","0.9521484375","0.9521484375","0.9765625","0.9765625","0.9765625","0.9521484375","0.9521484375","0.9521484375","0.974609375","0.974609375","0.974609375","0.970703125","0.970703125","0.970703125","0.9755859375","0.9755859375","0.9755859375"
"4","0.9892578125","0.9892578125","0.9892578125","0.9501953125","0.9501953125","0.9501953125","0.9482421875","0.9482421875","0.9482421875","0.9482421875","0.9482421875","0.9482421875","0.9482421875","0.9482421875","0.9482421875","0.982421875","0.982421875","0.982421875","0.9482421875","0.9482421875","0.9482421875","0.974609375","0.974609375","0.974609375","0.9755859375","0.9755859375","0.9755859375","0.9765625","0.9765625","0.9765625"
"5","0.9814453125","0.9814453125","0.9814453125","0.947265625","0.947265625","0.947265625","0.947265625","0.947265625","0.947265625","0.947265625","0.947265625","0.947265625","0.947265625","0.947265625","0.947265625","0.9755859375","0.9755859375","0.9755859375","0.947265625","0.947265625","0.947265625","0.9736328125","0.9736328125","0.9736328125","0.9677734375","0.9677734375","0.9677734375","0.96484375","0.96484375","0.96484375"
"6","0.9921875","0.9921875","0.9921875","0.9482421875","0.9482421875","0.9482421875","0.9423828125","0.9423828125","0.9423828125","0.9423828125","0.9423828125","0.9423828125","0.9423828125","0.9423828125","0.9423828125","0.9677734375","0.9677734375","0.9677734375","0.9423828125","0.9423828125","0.9423828125","0.9599609375","0.9599609375","0.9599609375","0.96484375","0.96484375","0.96484375","0.9541015625","0.9541015625","0.9541015625"
"7","0.98828125","0.98828125","0.98828125","0.900390625","0.900390625","0.900390625","0.8955078125","0.8955078125","0.8955078125","0.8955078125","0.8955078125","0.8955078125","0.8955078125","0.8955078125","0.8955078125","0.9384765625","0.9384765625","0.9384765625","0.8955078125","0.8955078125","0.8955078125","0.9404296875","0.9404296875","0.9404296875","0.927734375","0.927734375","0.927734375","0.916015625","0.916015625","0.916015625"
"8","0.9873046875","0.9873046875","0.9873046875","0.8984375","0.8984375","0.8984375","0.8935546875","0.8935546875","0.8935546875","0.8935546875","0.8935546875","0.8935546875","0.8935546875","0.8935546875","0.8935546875","0.9375","0.9375","0.9375","0.8935546875","0.8935546875","0.8935546875","0.921875","0.921875","0.921875","0.9169921875","0.9169921875","0.9169921875","0.9140625","0.9140625","0.9140625"
"9","0.9814453125","0.9814453125","0.9814453125","0.8857421875","0.8857421875","0.8857421875","0.8818359375","0.8818359375","0.8818359375","0.8818359375","0.8818359375","0.8818359375","0.8818359375","0.8818359375","0.8818359375","0.939453125","0.939453125","0.939453125","0.8818359375","0.8818359375","0.8818359375","0.9267578125","0.9267578125","0.9267578125","0.9052734375","0.9052734375","0.9052734375","0.904296875","0.904296875","0.904296875"
"10","0.98828125","0.98828125","0.98828125","0.8662109375","0.8662109375","0.8662109375","0.861328125","0.861328125","0.861328125","0.861328125","0.861328125","0.861328125","0.861328125","0.861328125","0.861328125","0.904296875","0.904296875","0.904296875","0.861328125","0.861328125","0.861328125","0.8935546875","0.8935546875","0.8935546875","0.8876953125","0.8876953125","0.8876953125","0.8779296875","0.8779296875","0.8779296875"
"11","0.9794921875","0.9794921875","0.9794921875","0.8623046875","0.8623046875","0.8623046875","0.8583984375","0.8583984375","0.8583984375","0.8583984375","0.8583984375","0.8583984375","0.8583984375","0.8583984375","0.8583984375","0.9150390625","0.9150390625","0.9150390625","0.8583984375","0.8583984375","0.8583984375","0.892578125","0.892578125","0.892578125","0.8818359375","0.8818359375","0.8818359375","0.875","0.875","0.875"
