"Step","tracer_ema_up_freq_1 - Teacher_teacher_student_kl_combined","tracer_ema_up_freq_1 - Teacher_teacher_student_kl_combined__MIN","tracer_ema_up_freq_1 - Teacher_teacher_student_kl_combined__MAX","tracer_ema_up_freq_500 - Teacher_teacher_student_kl_combined","tracer_ema_up_freq_500 - Teacher_teacher_student_kl_combined__MIN","tracer_ema_up_freq_500 - Teacher_teacher_student_kl_combined__MAX","tracer_bma_up_freq_2500 - Teacher_teacher_student_kl_combined","tracer_bma_up_freq_2500 - Teacher_teacher_student_kl_combined__MIN","tracer_bma_up_freq_2500 - Teacher_teacher_student_kl_combined__MAX","tracer_bma_up_freq_1000 - Teacher_teacher_student_kl_combined","tracer_bma_up_freq_1000 - Teacher_teacher_student_kl_combined__MIN","tracer_bma_up_freq_1000 - Teacher_teacher_student_kl_combined__MAX","tracer_bma_up_freq_500 - Teacher_teacher_student_kl_combined","tracer_bma_up_freq_500 - Teacher_teacher_student_kl_combined__MIN","tracer_bma_up_freq_500 - Teacher_teacher_student_kl_combined__MAX","tracer_beta_1.5 - Teacher_teacher_student_kl_combined","tracer_beta_1.5 - Teacher_teacher_student_kl_combined__MIN","tracer_beta_1.5 - Teacher_teacher_student_kl_combined__MAX","tracer_bma_up_freq_50 - Teacher_teacher_student_kl_combined","tracer_bma_up_freq_50 - Teacher_teacher_student_kl_combined__MIN","tracer_bma_up_freq_50 - Teacher_teacher_student_kl_combined__MAX","tracer_beta_1.0 - Teacher_teacher_student_kl_combined","tracer_beta_1.0 - Teacher_teacher_student_kl_combined__MIN","tracer_beta_1.0 - Teacher_teacher_student_kl_combined__MAX","tracer_bma_up_freq_5 - Teacher_teacher_student_kl_combined","tracer_bma_up_freq_5 - Teacher_teacher_student_kl_combined__MIN","tracer_bma_up_freq_5 - Teacher_teacher_student_kl_combined__MAX","tracer_beta_0.2 - Teacher_teacher_student_kl_combined","tracer_beta_0.2 - Teacher_teacher_student_kl_combined__MIN","tracer_beta_0.2 - Teacher_teacher_student_kl_combined__MAX"
"2","0.001157950609922409","0.001157950609922409","0.001157950609922409","0.003788791364058852","0.003788791364058852","0.003788791364058852","0.00387437897734344","0.00387437897734344","0.00387437897734344","0.00387437897734344","0.00387437897734344","0.00387437897734344","0.00387437897734344","0.00387437897734344","0.00387437897734344","0.0013093198649585247","0.0013093198649585247","0.0013093198649585247","0.00387437897734344","0.00387437897734344","0.00387437897734344","0.0013483416987583041","0.0013483416987583041","0.0013483416987583041","0.00387437897734344","0.00387437897734344","0.00387437897734344","0.001424883957952261","0.001424883957952261","0.001424883957952261"
"3","0.0011506412411108613","0.0011506412411108613","0.0011506412411108613","0.005580080673098564","0.005580080673098564","0.005580080673098564","0.005516244098544121","0.005516244098544121","0.005516244098544121","0.005516244098544121","0.005516244098544121","0.005516244098544121","0.005516244098544121","0.005516244098544121","0.005516244098544121","0.0014443439431488514","0.0014443439431488514","0.0014443439431488514","0.005516244098544121","0.005516244098544121","0.005516244098544121","0.0015646322863176465","0.0015646322863176465","0.0015646322863176465","0.001976990606635809","0.001976990606635809","0.001976990606635809","0.0016777124255895615","0.0016777124255895615","0.0016777124255895615"
"4","0.0011457210639491677","0.0011457210639491677","0.0011457210639491677","0.007452077232301235","0.007452077232301235","0.007452077232301235","0.008013383485376835","0.008013383485376835","0.008013383485376835","0.008013383485376835","0.008013383485376835","0.008013383485376835","0.008013383485376835","0.008013383485376835","0.008013383485376835","0.0017398725030943751","0.0017398725030943751","0.0017398725030943751","0.008013383485376835","0.008013383485376835","0.008013383485376835","0.0018882143776863813","0.0018882143776863813","0.0018882143776863813","0.00241993204690516","0.00241993204690516","0.00241993204690516","0.00218491954728961","0.00218491954728961","0.00218491954728961"
"5","0.001172276446595788","0.001172276446595788","0.001172276446595788","0.010826725512742996","0.010826725512742996","0.010826725512742996","0.01115412637591362","0.01115412637591362","0.01115412637591362","0.01115412637591362","0.01115412637591362","0.01115412637591362","0.01115412637591362","0.01115412637591362","0.01115412637591362","0.0029100237879902124","0.0029100237879902124","0.0029100237879902124","0.01115412637591362","0.01115412637591362","0.01115412637591362","0.0030701085925102234","0.0030701085925102234","0.0030701085925102234","0.003731507109478116","0.003731507109478116","0.003731507109478116","0.0037772194482386112","0.0037772194482386112","0.0037772194482386112"
"6","0.0011369416024535894","0.0011369416024535894","0.0011369416024535894","0.018546942621469498","0.018546942621469498","0.018546942621469498","0.018859155476093292","0.018859155476093292","0.018859155476093292","0.018859155476093292","0.018859155476093292","0.018859155476093292","0.018859155476093292","0.018859155476093292","0.018859155476093292","0.005310731008648872","0.005310731008648872","0.005310731008648872","0.018859155476093292","0.018859155476093292","0.018859155476093292","0.006560852285474539","0.006560852285474539","0.006560852285474539","0.008559235371649265","0.008559235371649265","0.008559235371649265","0.00826556421816349","0.00826556421816349","0.00826556421816349"
"7","0.0011467218864709139","0.0011467218864709139","0.0011467218864709139","0.03261476010084152","0.03261476010084152","0.03261476010084152","0.033219341188669205","0.033219341188669205","0.033219341188669205","0.033219341188669205","0.033219341188669205","0.033219341188669205","0.033219341188669205","0.033219341188669205","0.033219341188669205","0.013787715695798397","0.013787715695798397","0.013787715695798397","0.033219341188669205","0.033219341188669205","0.033219341188669205","0.01602960005402565","0.01602960005402565","0.01602960005402565","0.019624635577201843","0.019624635577201843","0.019624635577201843","0.01985224336385727","0.01985224336385727","0.01985224336385727"
"8","0.0010607518488541245","0.0010607518488541245","0.0010607518488541245","0.05953195318579674","0.05953195318579674","0.05953195318579674","0.06107494235038757","0.06107494235038757","0.06107494235038757","0.06107494235038757","0.06107494235038757","0.06107494235038757","0.06107494235038757","0.06107494235038757","0.06107494235038757","0.023032303899526596","0.023032303899526596","0.023032303899526596","0.06107494235038757","0.06107494235038757","0.06107494235038757","0.03207515552639961","0.03207515552639961","0.03207515552639961","0.04125369340181351","0.04125369340181351","0.04125369340181351","0.04173310101032257","0.04173310101032257","0.04173310101032257"
"9","0.0011321485508233309","0.0011321485508233309","0.0011321485508233309","0.08198534697294235","0.08198534697294235","0.08198534697294235","0.08408963680267334","0.08408963680267334","0.08408963680267334","0.08408963680267334","0.08408963680267334","0.08408963680267334","0.08408963680267334","0.08408963680267334","0.08408963680267334","0.03283898904919624","0.03283898904919624","0.03283898904919624","0.08408963680267334","0.08408963680267334","0.08408963680267334","0.04020257666707039","0.04020257666707039","0.04020257666707039","0.05646394193172455","0.05646394193172455","0.05646394193172455","0.06098854914307594","0.06098854914307594","0.06098854914307594"
"10","0.0011143868323415518","0.0011143868323415518","0.0011143868323415518","0.08993573486804962","0.08993573486804962","0.08993573486804962","0.09322556853294373","0.09322556853294373","0.09322556853294373","0.09322556853294373","0.09322556853294373","0.09322556853294373","0.09322556853294373","0.09322556853294373","0.09322556853294373","0.03905531391501427","0.03905531391501427","0.03905531391501427","0.09322556853294373","0.09322556853294373","0.09322556853294373","0.04726751148700714","0.04726751148700714","0.04726751148700714","0.06608790159225464","0.06608790159225464","0.06608790159225464","0.06872427463531494","0.06872427463531494","0.06872427463531494"
"11","0.0011118385009467602","0.0011118385009467602","0.0011118385009467602","0.09921560436487198","0.09921560436487198","0.09921560436487198","0.10213068127632141","0.10213068127632141","0.10213068127632141","0.10213068127632141","0.10213068127632141","0.10213068127632141","0.10213068127632141","0.10213068127632141","0.10213068127632141","0.03677515685558319","0.03677515685558319","0.03677515685558319","0.10213068127632141","0.10213068127632141","0.10213068127632141","0.05681551992893219","0.05681551992893219","0.05681551992893219","0.07541070878505707","0.07541070878505707","0.07541070878505707","0.07963064312934875","0.07963064312934875","0.07963064312934875"
"12","0.0010396179277449846","0.0010396179277449846","0.0010396179277449846","0.09517523646354675","0.09517523646354675","0.09517523646354675","0.09796522557735443","0.09796522557735443","0.09796522557735443","0.09796522557735443","0.09796522557735443","0.09796522557735443","0.09796522557735443","0.09796522557735443","0.09796522557735443","0.03436827287077904","0.03436827287077904","0.03436827287077904","0.07131078094244003","0.07131078094244003","0.07131078094244003","0.051668405532836914","0.051668405532836914","0.051668405532836914","0.07164475321769714","0.07164475321769714","0.07164475321769714","0.07940127700567245","0.07940127700567245","0.07940127700567245"
"13","0.0009881542064249516","0.0009881542064249516","0.0009881542064249516","0.11640994250774384","0.11640994250774384","0.11640994250774384","0.12284648418426514","0.12284648418426514","0.12284648418426514","0.12284648418426514","0.12284648418426514","0.12284648418426514","0.12284648418426514","0.12284648418426514","0.12284648418426514","0.04133494570851326","0.04133494570851326","0.04133494570851326","0.0902530699968338","0.0902530699968338","0.0902530699968338","0.056445635855197906","0.056445635855197906","0.056445635855197906","0.08609993755817413","0.08609993755817413","0.08609993755817413","0.09843332320451736","0.09843332320451736","0.09843332320451736"
"14","0.001019378425553441","0.001019378425553441","0.001019378425553441","0.11856140196323395","0.11856140196323395","0.11856140196323395","0.12506306171417236","0.12506306171417236","0.12506306171417236","0.12506306171417236","0.12506306171417236","0.12506306171417236","0.12506306171417236","0.12506306171417236","0.12506306171417236","0.04017755389213562","0.04017755389213562","0.04017755389213562","0.09513703733682632","0.09513703733682632","0.09513703733682632","0.05173824727535248","0.05173824727535248","0.05173824727535248","0.08387259393930435","0.08387259393930435","0.08387259393930435","0.09614291787147522","0.09614291787147522","0.09614291787147522"
"15","0.0010260032722726464","0.0010260032722726464","0.0010260032722726464","0.1183324083685875","0.1183324083685875","0.1183324083685875","0.12265264987945557","0.12265264987945557","0.12265264987945557","0.12265264987945557","0.12265264987945557","0.12265264987945557","0.12265264987945557","0.12265264987945557","0.12265264987945557","0.039862483739852905","0.039862483739852905","0.039862483739852905","0.10060549527406693","0.10060549527406693","0.10060549527406693","0.05030638724565506","0.05030638724565506","0.05030638724565506","0.08556471765041351","0.08556471765041351","0.08556471765041351","0.09291870146989822","0.09291870146989822","0.09291870146989822"
"16","0.001054736552760005","0.001054736552760005","0.001054736552760005","0.1163187101483345","0.1163187101483345","0.1163187101483345","0.12201307713985443","0.12201307713985443","0.12201307713985443","0.12201307713985443","0.12201307713985443","0.12201307713985443","0.12201307713985443","0.12201307713985443","0.12201307713985443","0.04000121355056763","0.04000121355056763","0.04000121355056763","0.10364681482315063","0.10364681482315063","0.10364681482315063","0.05530725046992302","0.05530725046992302","0.05530725046992302","0.08502642810344696","0.08502642810344696","0.08502642810344696","0.09364324808120728","0.09364324808120728","0.09364324808120728"
"17","0.0010969623690471053","0.0010969623690471053","0.0010969623690471053","0.10828237980604172","0.10828237980604172","0.10828237980604172","0.11269424855709076","0.11269424855709076","0.11269424855709076","0.11269424855709076","0.11269424855709076","0.11269424855709076","0.11269424855709076","0.11269424855709076","0.11269424855709076","0.030665742233395576","0.030665742233395576","0.030665742233395576","0.09430310875177383","0.09430310875177383","0.09430310875177383","0.046204328536987305","0.046204328536987305","0.046204328536987305","0.07526493072509766","0.07526493072509766","0.07526493072509766","0.08255672454833984","0.08255672454833984","0.08255672454833984"
"18","0.0009475083206780255","0.0009475083206780255","0.0009475083206780255","0.12263207882642746","0.12263207882642746","0.12263207882642746","0.12697118520736694","0.12697118520736694","0.12697118520736694","0.12697118520736694","0.12697118520736694","0.12697118520736694","0.12697118520736694","0.12697118520736694","0.12697118520736694","0.034366436302661896","0.034366436302661896","0.034366436302661896","0.11017607897520065","0.11017607897520065","0.11017607897520065","0.054582275450229645","0.054582275450229645","0.054582275450229645","0.08530030399560928","0.08530030399560928","0.08530030399560928","0.09850523620843887","0.09850523620843887","0.09850523620843887"
"19","0.0009187704999931157","0.0009187704999931157","0.0009187704999931157","0.1244995966553688","0.1244995966553688","0.1244995966553688","0.12902089953422546","0.12902089953422546","0.12902089953422546","0.12902089953422546","0.12902089953422546","0.12902089953422546","0.12902089953422546","0.12902089953422546","0.12902089953422546","0.03190963715314865","0.03190963715314865","0.03190963715314865","0.11137942224740982","0.11137942224740982","0.11137942224740982","0.052069611847400665","0.052069611847400665","0.052069611847400665","0.08223885297775269","0.08223885297775269","0.08223885297775269","0.09771771728992462","0.09771771728992462","0.09771771728992462"
"20","0.0011115605011582375","0.0011115605011582375","0.0011115605011582375","0.1188187450170517","0.1188187450170517","0.1188187450170517","0.12316688895225525","0.12316688895225525","0.12316688895225525","0.12316688895225525","0.12316688895225525","0.12316688895225525","0.12316688895225525","0.12316688895225525","0.12316688895225525","0.02977452427148819","0.02977452427148819","0.02977452427148819","0.10577739030122757","0.10577739030122757","0.10577739030122757","0.04718334227800369","0.04718334227800369","0.04718334227800369","0.07759299129247665","0.07759299129247665","0.07759299129247665","0.09307825565338135","0.09307825565338135","0.09307825565338135"
"21","0.0008893361082300544","0.0008893361082300544","0.0008893361082300544","0.13282477855682373","0.13282477855682373","0.13282477855682373","0.13829034566879272","0.13829034566879272","0.13829034566879272","0.13829034566879272","0.13829034566879272","0.13829034566879272","0.13829034566879272","0.13829034566879272","0.13829034566879272","0.03427473455667496","0.03427473455667496","0.03427473455667496","0.1190190240740776","0.1190190240740776","0.1190190240740776","0.05309002846479416","0.05309002846479416","0.05309002846479416","0.08802255988121033","0.08802255988121033","0.08802255988121033","0.10518354177474976","0.10518354177474976","0.10518354177474976"
"22","0.0010256888344883919","0.0010256888344883919","0.0010256888344883919","0.13956260681152344","0.13956260681152344","0.13956260681152344","0.14506344497203827","0.14506344497203827","0.14506344497203827","0.14506344497203827","0.14506344497203827","0.14506344497203827","0.14506344497203827","0.14506344497203827","0.14506344497203827","0.03518248349428177","0.03518248349428177","0.03518248349428177","0.10758689045906067","0.10758689045906067","0.10758689045906067","0.052944231778383255","0.052944231778383255","0.052944231778383255","0.090680792927742","0.090680792927742","0.090680792927742","0.11084654927253723","0.11084654927253723","0.11084654927253723"
"23","0.0010183691047132015","0.0010183691047132015","0.0010183691047132015","0.11766848713159561","0.11766848713159561","0.11766848713159561","0.12386716157197952","0.12386716157197952","0.12386716157197952","0.12386716157197952","0.12386716157197952","0.12386716157197952","0.12386716157197952","0.12386716157197952","0.12386716157197952","0.02982017770409584","0.02982017770409584","0.02982017770409584","0.09430577605962753","0.09430577605962753","0.09430577605962753","0.045662056654691696","0.045662056654691696","0.045662056654691696","0.07900625467300415","0.07900625467300415","0.07900625467300415","0.09612629562616348","0.09612629562616348","0.09612629562616348"
"24","0.0010052648140117526","0.0010052648140117526","0.0010052648140117526","0.1522301733493805","0.1522301733493805","0.1522301733493805","0.15984562039375305","0.15984562039375305","0.15984562039375305","0.15984562039375305","0.15984562039375305","0.15984562039375305","0.15984562039375305","0.15984562039375305","0.15984562039375305","0.03873895853757858","0.03873895853757858","0.03873895853757858","0.12413917481899261","0.12413917481899261","0.12413917481899261","0.05724594369530678","0.05724594369530678","0.05724594369530678","0.09848916530609131","0.09848916530609131","0.09848916530609131","0.12044879794120789","0.12044879794120789","0.12044879794120789"
"25","0.0010505316313356161","0.0010505316313356161","0.0010505316313356161","0.1427079439163208","0.1427079439163208","0.1427079439163208","0.1471855640411377","0.1471855640411377","0.1471855640411377","0.1471855640411377","0.1471855640411377","0.1471855640411377","0.1471855640411377","0.1471855640411377","0.1471855640411377","0.03037944994866848","0.03037944994866848","0.03037944994866848","0.11436723172664642","0.11436723172664642","0.11436723172664642","0.047708213329315186","0.047708213329315186","0.047708213329315186","0.08600802719593048","0.08600802719593048","0.08600802719593048","0.10937362909317017","0.10937362909317017","0.10937362909317017"
