"Step","carot_ema_up_freq_1 - Teacher_teacher_student_top5_alignment_img","carot_ema_up_freq_1 - Teacher_teacher_student_top5_alignment_img__MIN","carot_ema_up_freq_1 - Teacher_teacher_student_top5_alignment_img__MAX","carot_ema_up_freq_500 - Teacher_teacher_student_top5_alignment_img","carot_ema_up_freq_500 - Teacher_teacher_student_top5_alignment_img__MIN","carot_ema_up_freq_500 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_2500 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_2500 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_2500 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_1000 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_1000 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_1000 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_500 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_500 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_500 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_beta_1.5 - Teacher_teacher_student_top5_alignment_img","pomp_beta_1.5 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_beta_1.5 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_50 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_50 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_50 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_beta_1.0 - Teacher_teacher_student_top5_alignment_img","pomp_beta_1.0 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_beta_1.0 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_5 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_5 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_5 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_beta_0.2 - Teacher_teacher_student_top5_alignment_img","pomp_beta_0.2 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_beta_0.2 - Teacher_teacher_student_top5_alignment_img__MAX"
"2","0.98359375","0.98359375","0.98359375","0.9671875","0.9671875","0.9671875","0.964453125","0.964453125","0.964453125","0.964453125","0.964453125","0.964453125","0.964453125","0.964453125","0.964453125","0.98125","0.98125","0.98125","0.964453125","0.964453125","0.964453125","0.982421875","0.982421875","0.982421875","0.964453125","0.964453125","0.964453125","0.98359375","0.98359375","0.98359375"
"3","0.983984375","0.983984375","0.983984375","0.960546875","0.960546875","0.960546875","0.957421875","0.957421875","0.957421875","0.957421875","0.957421875","0.957421875","0.957421875","0.957421875","0.957421875","0.9828125","0.9828125","0.9828125","0.957421875","0.957421875","0.957421875","0.9828125","0.9828125","0.9828125","0.9765625","0.9765625","0.9765625","0.97734375","0.97734375","0.97734375"
"4","0.9859375","0.9859375","0.9859375","0.955859375","0.955859375","0.955859375","0.95234375","0.95234375","0.95234375","0.95234375","0.95234375","0.95234375","0.95234375","0.95234375","0.95234375","0.97421875","0.97421875","0.97421875","0.95234375","0.95234375","0.95234375","0.975","0.975","0.975","0.971484375","0.971484375","0.971484375","0.9765625","0.9765625","0.9765625"
"5","0.983203125","0.983203125","0.983203125","0.94375","0.94375","0.94375","0.949609375","0.949609375","0.949609375","0.949609375","0.949609375","0.949609375","0.949609375","0.949609375","0.949609375","0.9703125","0.9703125","0.9703125","0.949609375","0.949609375","0.949609375","0.96953125","0.96953125","0.96953125","0.9640625","0.9640625","0.9640625","0.96796875","0.96796875","0.96796875"
"6","0.983984375","0.983984375","0.983984375","0.930859375","0.930859375","0.930859375","0.926953125","0.926953125","0.926953125","0.926953125","0.926953125","0.926953125","0.926953125","0.926953125","0.926953125","0.956640625","0.956640625","0.956640625","0.926953125","0.926953125","0.926953125","0.955859375","0.955859375","0.955859375","0.952734375","0.952734375","0.952734375","0.951953125","0.951953125","0.951953125"
"7","0.984375","0.984375","0.984375","0.912890625","0.912890625","0.912890625","0.9140625","0.9140625","0.9140625","0.9140625","0.9140625","0.9140625","0.9140625","0.9140625","0.9140625","0.9375","0.9375","0.9375","0.9140625","0.9140625","0.9140625","0.9328125","0.9328125","0.9328125","0.925390625","0.925390625","0.925390625","0.926171875","0.926171875","0.926171875"
"8","0.9828125","0.9828125","0.9828125","0.877734375","0.877734375","0.877734375","0.87578125","0.87578125","0.87578125","0.87578125","0.87578125","0.87578125","0.87578125","0.87578125","0.87578125","0.91875","0.91875","0.91875","0.87578125","0.87578125","0.87578125","0.90078125","0.90078125","0.90078125","0.89296875","0.89296875","0.89296875","0.889453125","0.889453125","0.889453125"
"9","0.98671875","0.98671875","0.98671875","0.861328125","0.861328125","0.861328125","0.860546875","0.860546875","0.860546875","0.860546875","0.860546875","0.860546875","0.860546875","0.860546875","0.860546875","0.901171875","0.901171875","0.901171875","0.860546875","0.860546875","0.860546875","0.88671875","0.88671875","0.88671875","0.873828125","0.873828125","0.873828125","0.86953125","0.86953125","0.86953125"
"10","0.985546875","0.985546875","0.985546875","0.853125","0.853125","0.853125","0.84921875","0.84921875","0.84921875","0.84921875","0.84921875","0.84921875","0.84921875","0.84921875","0.84921875","0.888671875","0.888671875","0.888671875","0.84921875","0.84921875","0.84921875","0.8828125","0.8828125","0.8828125","0.862109375","0.862109375","0.862109375","0.862890625","0.862890625","0.862890625"
"11","0.9828125","0.9828125","0.9828125","0.846875","0.846875","0.846875","0.84140625","0.84140625","0.84140625","0.84140625","0.84140625","0.84140625","0.84140625","0.84140625","0.84140625","0.898828125","0.898828125","0.898828125","0.84140625","0.84140625","0.84140625","0.871875","0.871875","0.871875","0.851171875","0.851171875","0.851171875","0.8515625","0.8515625","0.8515625"
