"Name","Runtime","State","Created","ImageNet Accuracy","ImageNetV2 Accuracy","ImageNetSketch Accuracy","ImageNetA Accuracy","ImageNetR Accuracy","max_grad_norm","ema_up_freq","grad_norm_multiplier","warmup_length","freeze_text_encoder","trainable_layers","enable_grad_diagnostics","distil_coef","l_orth_wv","dual_teacher","workers","ldreg_coef","ldreg_k","ldreg_type","Final Max Grad Norm","Initial Max Grad Norm","Scheduled Max Grad Norm","trainable params","ImageNet ECE","ImageNetA ECE","ImageNetR ECE","ImageNetSketch ECE","ImageNetV2 ECE","Max Grad Norm","Avg OOD Acc"
"carot_beta_sd0.9_withoutOC","27689","finished","2025-07-02T01:20:15.000Z","0.8257","0.7361","0.5336","0.5377","0.7954","0","0","0","500","false","-1","","0.9","0","","4","0","64","l1","","","","302","0.0632","0.0928","0.0699","0.0714","0.0464","","0.6507"
"carot_beta_sd1.0_withoutOC","19627","finished","2025-07-01T15:05:19.000Z","0.8231","0.7353","0.5355","0.5365","0.7965","0","0","0","500","false","-1","","1","0","","4","0","64","l1","","","","302","0.0691","0.0933","0.0761","0.0773","0.0476","","0.6509"
"carot_beta_sd1.3_withoutOC","26098","finished","2025-07-01T06:34:50.000Z","0.8186","0.7296","0.5352","0.5343","0.798","0","0","0","500","false","-1","","1.3","0","","4","0","64","l1","","","","302","0.0827","0.084","0.0875","0.087","0.0578","","0.6493"
"carot_beta_sd1.3_OC0.2","26056","finished","2025-06-30T23:16:28.000Z","0.818","0.7321","0.5357","0.5397","0.797","0","0","0","500","false","-1","","1.3","0.2","","4","0","64","l1","","","","302","0.0713","0.0894","0.0744","0.0783","0.048","","0.6511"
"carot_beta_sd2.0","30971","finished","2025-06-26T01:07:50.000Z","0.804","0.7223","0.5331","0.5307","0.7988","0","0","0","500","false","-1","false","2","0.2","","4","0","64","l1","","","","302","0.0881","0.0764","0.093","0.0897","0.0652","","0.6462"
"carot_beta_sd1.5","31853","finished","2025-06-26T01:04:49.000Z","0.8127","0.7277","0.5356","0.5345","0.798","0","0","0","500","false","-1","false","1.5","0.2","","4","0","64","l1","","","","302","0.0763","0.0851","0.0816","0.0828","0.0514","","0.649"
"carot_6Layers","24736","finished","2025-06-15T13:57:19.000Z","0.8091","0.7262","0.5403","0.5536","0.8044","0","0","0","500","false","6","","1.5","0.2","","4","0","64","l1","","","","158","0.0823","0.0767","0.084","0.0824","0.056","",""
"carot_7Layers","25136","finished","2025-06-15T13:50:38.000Z","0.8098","0.7256","0.539","0.5516","0.8029","0","0","0","500","false","7","","1.5","0.2","","4","0","64","l1","","","","182","0.0807","0.0839","0.0833","0.0834","0.0568","",""
"carot_beta_sd0.2_withoutOC","19970","finished","2025-07-05T12:52:31.000Z","0.831","0.7367","0.5157","0.5195","0.7524","0","0","0","500","false","-1","","0.2","0","","6","0","64","l1","","","","302","0.044","0.1826","0.0538","0.1413","0.0784","","0.6311"
"carot_beta_sd0.5_withoutOC","23972","finished","2025-07-04T03:33:46.000Z","0.8317","0.7417","0.5296","0.5284","0.7817","0","0","0","500","false","-1","","0.5","0","","6","0","64","l1","","","","302","0.0419","0.129","0.0422","0.079","0.0433","","0.6453"
"carot_beta_sd0.85_OC0.2","24929","finished","2025-07-03T11:38:05.000Z","0.8261","0.7385","0.5354","0.5401","0.7946","0","0","0","500","false","-1","","0.85","0.2","","6","0","64","l1","","","","302","0.0532","0.1047","0.0554","0.0678","0.0415","","0.6522"
