"Name","Runtime","State","Created","ImageNet Accuracy","ImageNetV2 Accuracy","ImageNetSketch Accuracy","ImageNetA Accuracy","ImageNetR Accuracy","max_grad_norm","ema_up_freq","grad_norm_multiplier","warmup_length","freeze_text_encoder","trainable_layers","enable_grad_diagnostics","distil_coef","l_orth_wv","dual_teacher","workers","ldreg_coef","ldreg_k","ldreg_type","Final Max Grad Norm","Initial Max Grad Norm","Scheduled Max Grad Norm","trainable params","ImageNet ECE","ImageNetA ECE","ImageNetR ECE","ImageNetSketch ECE","ImageNetV2 ECE","Max Grad Norm","Avg OOD Acc"
ZS,,,,0.6833,0.6193,0.4826,0.4995,0.7771,,,,,,,,,,,,,,,,,,,,,,,,,0.5946
FT,,,,0.8153,0.7166,0.4911,0.4401,0.7014,,,,,,,,,,,,,,,,,,,,,,,,,0.5873
LP-FT,,,,0.8217,0.7206,0.4868,0.4629,0.7047,,,,,,,,,,,,,,,,,,,,,,,,,0.5938
CAR-FT,,,,0.8330,0.7400,0.5300,0.4950,0.7540,,,,,,,,,,,,,,,,,,,,,,,,,0.6298
FLYP,,,,0.8269,0.7273,0.4984,0.4852,0.7135,,,,,,,,,,,,,,,,,,,,,,,,,0.6061
Lipsum-FT,,,,0.8330,0.7360,0.5140,0.4990,0.7590,,,,,,,,,,,,,,,,,,,,,,,,,0.6270
Model Stock,,,,0.8410,0.7480,0.5180,0.5120,0.7180,,,,,,,,,,,,,,,,,,,,,,,,,0.6240
ARF,,,,0.8270,0.7280,0.5180,0.5030,0.7560,,,,,,,,,,,,,,,,,,,,,,,,,0.6263
CaRot (Paper),,,,0.8313,0.7411,0.5271,0.5160,0.7771,,,,,,,,,,,,,,,,,,,,,,,,,0.6403
"CaRot (Our run)","25146","finished","2025-05-26T19:19:40.000Z","0.8302","0.7412","0.5295","0.5164","0.7786","","500","","500","","","","1.5","0.2","","4","0","64","l1","","","","","0.0462","0.1263","0.0524","0.0707","0.0409","",""
"Ours","25306","finished","2025-07-03T03:14:21.000Z","0.8265","0.739","0.5343","0.542","0.7945","0","0","0","500","false","-1","","0.85","0","","6","0","64","l1","","","","302","0.0617","0.0987","0.0663","0.0707","0.0443","","0.6524"
